DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/05/2018,13:15,STATEN ISLAND,10306.0,40.57278,-74.138145,POINT (-74.138145 40.57278),RICHMOND ROAD                   ,SPRUCE STREET,,0.0,0.0,0,0,0,0,0,0,Glare,Unspecified,,,,3823067,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/13/2014,12:45,,,,,,FOREST AVENUE                   ,DECKER AVENUE                   ,,2.0,0.0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,319968,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
11/07/2016,11:45,,,40.840286,-73.92147,POINT (-73.92147 40.840286),WEST 170 STREET                 ,GRANT HIGHWAY,,1.0,0.0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3556584,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/24/2017,10:56,,,,,,,,26        BEARD STREET                  ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3623052,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/10/2016,17:30,BROOKLYN,11229,40.596756,-73.93342,POINT (-73.93342 40.596756),AVENUE W                        ,KNAPP STREET,,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Backing Unsafely,,,,3517672,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
12/28/2013,0:35,BROOKLYN,11212,40.65854960000001,-73.91572629999999,POINT (-73.9157263 40.6585496),LEGION STREET                   ,EAST 98 STREET                  ,,1.0,0.0,1,0,0,0,0,0,Alcohol Involvement,,,,,163018,PASSENGER VEHICLE,,,,
07/21/2018,11:00,BROOKLYN,11205.0,40.690174,-73.95527,POINT (-73.95527 40.690174),KOSCIUSZKO STREET               ,BEDFORD AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,3945932,Station Wagon/Sport Utility Vehicle,,,,
11/03/2016,17:00,,,40.811264,-73.95782,POINT (-73.95782 40.811264),AMSTERDAM AVENUE                ,,,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3555228,PASSENGER VEHICLE,,,,
01/31/2013,8:40,QUEENS,11414,40.6641936,-73.8411164,POINT (-73.8411164 40.6641936),156 AVENUE                      ,CROSSBAY BOULEVARD              ,,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,229731,PASSENGER VEHICLE,,,,
03/26/2015,11:27,BROOKLYN,11221,40.685694500000004,-73.9355882,POINT (-73.9355882 40.6856945),PUTNAM AVENUE                   ,LEWIS AVENUE                    ,,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3193618,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/31/2017,15:56,,,40.574158000000004,-74.11669,POINT (-74.11669 40.574158),NEW DORP LANE                   ,NEW DORP PLAZA,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3741086,PASSENGER VEHICLE,,,,
07/06/2014,20:20,STATEN ISLAND,10306,40.57046679999999,-74.10976190000001,POINT (-74.1097619 40.5704668),HYLAN BOULEVARD                 ,NEW DORP LANE                   ,,0.0,0.0,0,0,0,0,0,0,Accelerator Defective,Unspecified,,,,987844,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
03/19/2013,11:44,QUEENS,11385,40.7033474,-73.8553956,POINT (-73.8553956 40.7033474),83 AVENUE                       ,WOODHAVEN BOULEVARD             ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,215749,SMALL COM VEH(4 TIRES) ,SMALL COM VEH(4 TIRES) ,,,
09/24/2014,19:11,BROOKLYN,11209,40.632100200000004,-74.0304723,POINT (-74.0304723 40.6321002),BAY RIDGE PARKWAY               ,RIDGE BOULEVARD                 ,,0.0,0.0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,1028341,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/22/2014,22:30,MANHATTAN,10019,40.762065,-73.9836295,POINT (-73.9836295 40.762065),WEST 51 STREET                  ,BROADWAY                        ,,1.0,0.0,1,0,0,0,0,0,Driver Inexperience,,,,,1012548,UNKNOWN,,,,
