ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,cluster
5524,1957,Graduation,Single,58138,0,58,3,8,10,4,7,1
2174,1954,Graduation,Single,46344,1,38,2,1,1,2,5,2
4141,1965,Graduation,Together,71613,0,26,1,8,2,10,4,0
6182,1984,Graduation,Together,26646,1,26,2,2,0,4,6,2
5324,1981,PhD,Married,58293,1,94,5,5,3,6,5,1
7446,1967,Master,Together,62513,0,16,2,6,4,10,6,1
965,1971,Graduation,Divorced,55635,0,34,4,7,3,7,6,1
6177,1985,PhD,Married,33454,1,32,2,4,0,4,8,2
4855,1974,PhD,Together,30351,1,19,1,3,0,2,9,2
5899,1950,PhD,Together,5648,1,68,1,1,0,0,20,2
387,1976,Basic,Married,7500,0,59,1,2,0,3,8,2
2125,1959,Graduation,Divorced,63033,0,82,1,3,4,8,2,0
8180,1952,Master,Divorced,59354,1,53,3,6,1,5,6,1
2569,1987,Graduation,Married,17323,0,38,1,1,0,3,8,2
2114,1946,PhD,Single,82800,0,23,1,7,6,12,3,0
9736,1980,Graduation,Married,41850,1,51,3,3,0,3,8,2
4939,1946,Graduation,Together,37760,0,20,2,4,1,6,7,2
6565,1949,Master,Married,76995,0,91,2,11,4,9,5,1
2278,1985,2n Cycle,Single,33812,1,86,2,2,1,3,6,2
9360,1982,Graduation,Married,37040,0,41,1,4,2,5,8,2
5376,1979,Graduation,Married,2447,1,42,15,0,28,0,1,1
1993,1949,PhD,Married,58607,0,63,3,2,3,9,8,1
4047,1954,PhD,Married,65324,0,0,3,6,2,9,4,1
1409,1951,Graduation,Together,40689,0,69,7,7,1,5,8,1
7892,1969,Graduation,Single,18589,0,89,2,2,1,3,7,2
2404,1976,Graduation,Married,53359,1,4,4,5,1,4,7,1
9422,1989,Graduation,Married,38360,1,26,2,2,1,4,3,2
1966,1965,PhD,Married,84618,0,96,1,6,9,10,2,0
6864,1989,Master,Divorced,10979,0,34,2,3,0,3,5,2
3033,1963,Master,Together,38620,0,56,1,2,5,3,3,2
5710,1970,Graduation,Together,40548,0,31,2,2,1,4,5,2
7373,1952,PhD,Divorced,46610,0,8,6,4,1,6,6,1
8755,1946,Master,Married,68657,0,4,1,3,5,9,7,0
10738,1951,Master,Single,49389,1,55,1,2,0,3,7,2
4339,1970,PhD,Married,67353,0,37,5,5,6,12,2,0
10755,1976,2n Cycle,Married,23718,1,76,3,3,1,2,7,2
8595,1973,Graduation,Widow,42429,0,99,2,1,1,3,5,2
2968,1943,PhD,Divorced,48948,0,53,2,7,10,5,6,0
8601,1980,Graduation,Married,80011,0,3,2,8,6,5,4,0
503,1985,Master,Married,20559,1,88,2,2,0,3,8,2
8430,1957,Graduation,Together,21994,0,4,1,0,0,3,5,2
2139,1975,Master,Married,7500,1,19,3,2,0,3,5,2
1371,1976,Graduation,Single,79941,0,72,1,2,4,9,1,0
9909,1996,2n Cycle,Married,7500,0,24,3,3,1,3,9,2
7286,1968,Graduation,Together,41728,1,92,1,2,0,2,10,2
6566,1954,PhD,Married,72550,1,39,9,5,2,12,8,1
8614,1957,Graduation,Widow,65486,0,29,1,4,2,10,2,0
4114,1964,Master,Married,79143,0,2,1,6,9,13,3,0
1331,1977,Graduation,Single,35790,1,54,2,2,0,3,7,2
2225,1977,Graduation,Divorced,82582,0,54,1,4,9,7,1,0
9381,1978,Graduation,Married,66373,1,57,7,4,2,10,3,1
6260,1955,Master,Together,82384,0,55,1,3,10,13,1,0
10383,1966,Graduation,Divorced,70287,0,30,1,5,5,10,3,0
7437,1988,Graduation,Single,27938,1,31,1,1,0,4,3,2
8375,1968,PhD,Married,55954,0,63,3,8,2,6,7,1
6853,1982,Master,Single,75777,0,12,1,3,6,11,1,0
3076,1975,Graduation,Together,66653,1,18,4,4,2,12,3,0
1012,1952,Graduation,Single,61823,0,26,4,8,2,10,7,1
6518,1951,PhD,Widow,67680,0,8,1,7,3,8,5,0
4137,1948,Graduation,Together,70666,0,29,1,7,4,4,4,0
8082,1971,Graduation,Married,25721,1,75,1,1,1,2,7,2
1386,1967,Graduation,Together,32474,1,0,1,1,0,2,7,2
9369,1979,2n Cycle,Single,88194,0,19,1,11,10,10,5,0
4477,1958,Graduation,Together,69096,0,4,1,5,2,10,4,0
1357,1970,Graduation,Together,74854,1,90,7,2,5,5,5,1
1402,1954,Master,Married,66991,0,1,3,4,8,6,3,0
6312,1959,Graduation,Married,65031,0,29,4,10,3,13,7,1
8132,1975,PhD,Married,60631,1,88,5,9,2,8,7,1
1050,1952,Graduation,Married,28332,0,58,1,2,1,4,2,2
5846,1977,Graduation,Divorced,40246,1,68,1,1,0,2,6,2
1859,1972,Master,Married,75251,0,34,1,7,6,5,5,0
7503,1976,Graduation,Single,75825,0,40,0,5,8,9,4,0
10401,1976,2n Cycle,Together,26326,0,12,1,0,0,3,3,2
1618,1965,Graduation,Together,56046,0,9,2,10,1,8,8,1
3332,1985,Graduation,Single,29760,1,87,4,3,1,4,8,2
2261,1969,Graduation,Married,26304,1,5,1,1,0,2,7,2
5346,1973,2n Cycle,Married,23559,1,87,3,3,0,3,7,2
4119,1963,Master,Together,38620,0,56,1,2,5,3,3,2
535,1987,Graduation,Divorced,81361,0,18,1,3,10,13,1,0
5268,1960,Graduation,Married,29440,1,95,2,1,0,4,7,2
273,1970,Master,Married,36138,1,48,5,3,1,4,7,2
4452,1957,Graduation,Single,50388,0,3,4,6,1,6,7,1
8504,1973,Graduation,Married,79593,0,70,1,5,6,7,2,0
771,1967,Graduation,Together,54178,0,79,1,2,2,5,2,0
11178,1972,Master,Single,42394,1,69,1,1,0,3,7,2
2230,1970,PhD,Married,23626,1,84,3,3,1,3,5,2
7516,1983,Graduation,Married,30096,1,30,1,2,0,3,6,2
7247,1960,Graduation,Widow,47916,0,72,5,7,4,6,6,1
11100,1972,Graduation,Divorced,51813,1,37,2,2,0,3,7,2
4646,1951,2n Cycle,Married,78497,0,44,1,5,7,12,2,0
3037,1983,PhD,Married,50150,0,32,2,5,2,7,5,1
1473,1960,2n Cycle,Single,47823,0,0,2,2,0,3,8,2
1016,1959,PhD,Single,34554,0,43,2,2,0,3,6,2
4518,1979,Graduation,Together,85693,0,59,2,9,5,11,5,0
9370,1945,PhD,Married,65846,0,68,1,6,3,6,4,0
8908,1959,Graduation,Married,87195,0,35,1,3,11,5,1,0
8373,1979,Basic,Together,24594,1,94,1,1,0,3,5,2
7533,1964,Graduation,Married,49096,1,15,4,4,1,4,7,2
2683,1969,Graduation,Married,52413,0,56,4,6,4,12,6,1
3629,1978,Graduation,Single,38557,1,17,2,3,1,3,7,2
10991,1960,Master,Married,89058,0,18,1,5,4,4,2,0
5077,1979,Graduation,Together,77298,0,46,1,6,6,11,3,0
7431,1991,PhD,Single,68126,0,40,1,7,4,5,9,1
3267,1963,Master,Together,57288,0,27,3,8,1,8,6,1
999,1991,Graduation,Single,86037,0,95,1,6,7,11,3,0
9215,1980,PhD,Married,43974,1,19,5,6,4,6,7,1
2286,1962,Graduation,Single,50785,1,27,2,2,1,3,6,2
1592,1970,Graduation,Married,90765,0,25,0,4,6,5,1,0
367,1978,2n Cycle,Married,36550,1,74,5,9,1,5,9,1
5234,1967,2n Cycle,Together,30753,1,85,2,1,1,3,5,2
9862,1969,Graduation,Together,21918,1,37,2,2,0,3,6,2
9805,1953,Master,Together,56129,0,65,4,6,2,10,4,1
6205,1967,Master,Single,32557,1,13,3,2,1,3,5,2
8442,1985,Master,Married,19510,2,63,2,1,0,3,7,2
7386,1976,Graduation,Divorced,30992,1,83,1,1,0,3,7,2
7215,1983,Graduation,Single,101970,0,69,0,6,8,13,2,0
1491,1965,2n Cycle,Together,71488,0,87,2,3,4,7,1,0
11071,1984,Graduation,Single,79607,0,37,1,3,6,6,1,0
3381,1953,Master,Married,54348,1,51,2,2,0,4,6,2
11051,1956,PhD,Together,77376,1,72,4,6,3,10,4,1
8026,1952,Graduation,Married,62998,0,10,5,5,4,5,5,1
433,1958,Master,Alone,61331,1,42,5,11,1,6,8,1
9597,1969,Graduation,Married,73448,0,10,1,7,2,9,4,0
5290,1964,PhD,Married,41551,1,51,5,5,1,5,8,1
1685,1967,PhD,Together,62981,0,21,1,4,5,13,3,0
5342,1976,Basic,Divorced,9548,1,31,2,1,0,3,8,2
9579,1959,PhD,Married,33762,2,61,3,2,2,2,8,2
7660,1973,PhD,Alone,35860,1,37,2,1,1,2,5,2
1461,1965,PhD,Divorced,36921,1,74,2,2,0,3,7,2
821,1992,Master,Single,92859,0,46,1,5,4,12,2,0
11084,1976,Master,Together,65104,0,4,2,3,5,7,7,0
8690,1962,Graduation,Married,86111,0,73,1,5,7,10,2,0
2937,1974,PhD,Single,68352,0,47,3,8,5,9,6,1
9701,1988,Graduation,Together,41883,1,13,3,4,2,3,7,2
