id,education,marital_status,income,age,kidhome,teenhome,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,complain,response,customer_since_in_days,revenue
9805,Master,Together,56129,68,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,3067,0
13,PhD,Widow,25358,74,0,1,57,19,0,5,0,0,8,2,1,0,3,6,0,0,3035,0
5555,Graduation,Divorced,153924,46,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,2835,0
20,2n Cycle,Married,46891,56,0,1,91,43,12,23,29,15,61,1,2,1,4,4,0,0,2994,0
771,Graduation,Together,54178,54,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,2852,0
75,2n Cycle,Together,41039,39,0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,3032,0
10339,Master,Together,,67,0,1,83,161,0,22,0,0,24,2,4,1,4,6,0,0,3064,0
199,Master,Single,45183,59,0,0,33,219,3,60,12,9,12,1,4,1,7,7,0,0,3218,0
5029,Graduation,Married,18100,75,0,0,14,3,1,2,4,3,1,1,0,0,3,5,0,0,3020,0
7284,Graduation,Married,48686,68,1,2,8,10,0,7,2,0,1,1,1,0,2,8,0,0,2900,0
7106,PhD,Married,75865,78,0,0,73,483,0,591,156,0,12,1,3,5,10,1,0,0,2783,0
10573,Graduation,Divorced,62551,68,0,0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,2916,0
2008,Graduation,Married,77583,43,0,0,93,372,23,384,250,12,108,1,4,5,9,2,0,0,2832,0
5961,Graduation,Married,42693,43,1,0,29,8,4,20,6,3,16,1,1,0,3,5,0,0,2715,0
3076,Graduation,Together,66653,46,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,3353,0
1446,Master,Single,86424,65,0,0,12,387,68,569,89,45,68,1,6,9,12,1,0,0,2778,0
3834,Graduation,Single,69627,59,0,1,35,231,161,215,171,30,53,2,8,2,11,5,0,0,3162,0
7798,2n Cycle,Together,46344,49,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,3255,0
1570,PhD,Together,69702,70,0,1,8,664,9,240,50,19,57,2,7,7,10,4,0,0,3188,0
9145,Graduation,Single,72504,49,0,1,43,604,26,470,123,161,94,2,5,9,6,2,0,0,3142,0
3406,Graduation,Single,45989,57,0,1,97,138,33,87,28,24,12,4,3,2,7,3,0,0,3308,0
6918,Graduation,Married,28691,32,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,3053,0
2980,Master,Single,8820,69,1,1,52,12,0,13,4,2,4,4,3,0,3,8,0,0,3157,0
8439,Graduation,Together,63404,57,0,2,97,734,26,70,11,44,17,2,6,3,4,4,0,0,2716,0
8461,Graduation,Divorced,46102,59,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,2804,0
6918,Graduation,Married,28691,32,1,0,56,5,4,13,8,0,4,1,1,0,3,8,0,0,3053,0
3276,2n Cycle,Together,36301,45,1,0,53,11,12,35,3,5,12,1,3,0,3,7,0,0,2940,0
2929,Graduation,Single,20180,45,0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,0,3187,0
6312,Graduation,Married,65031,62,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,3162,0
10311,Graduation,Married,4428,52,0,1,0,16,4,12,2,4,321,0,25,0,0,1,0,0,2960,0
6177,PhD,Married,33454,36,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,3110,0
2995,Master,Together,66636,64,0,0,64,291,10,689,84,10,0,1,3,4,9,1,0,0,3009,0
9635,Master,Married,35876,38,0,0,13,66,2,40,4,3,14,1,3,1,3,6,0,0,2763,0
10770,Graduation,Married,65492,62,0,0,73,247,161,295,210,85,47,2,4,7,13,2,0,0,2847,0
6518,PhD,Widow,67680,70,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,3076,0
4120,2n Cycle,Single,49514,46,1,0,61,88,39,78,58,13,93,2,6,1,4,7,0,0,2887,0
2254,Graduation,Married,69520,38,0,0,95,627,120,414,121,80,93,1,9,6,5,5,0,0,3050,0
6999,Master,Married,69661,41,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,2740,0
10727,PhD,Married,69084,51,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,2915,0
4877,Master,Married,38576,48,0,1,2,34,0,7,0,0,0,1,1,0,3,7,0,0,2810,0
3406,Graduation,Single,45989,57,0,1,97,138,33,87,28,24,12,4,3,2,7,3,0,0,3308,0
3560,Graduation,Together,83844,69,0,0,57,901,31,345,75,31,191,1,4,4,11,1,0,0,3106,0
1592,Graduation,Married,90765,51,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,2849,0
796,2n Cycle,Divorced,60161,56,0,1,17,584,44,212,46,8,177,3,11,4,8,8,0,0,3307,0
