IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,Adults,Children,Country,IsRepeatedGuest,ReservedRoomType,CustomerType,ADR,ticker,hotel,book_id,ArrivalDate
0,18,2015,Jul,27,1,2,1,ESP,0,G               ,Transient,154.77,14,Resort,RTransient2015July1-14,7/1/2015
0,96,2015,Jul,27,2,2,0,ESP,0,A               ,Transient,,13,resort,RTransient2015July2-13,7/2/2015
0,98,2015,Jul,27,4,2,0,FRA,0,D               ,Transient,71.55,2,Resort,RTransient2015July4-2,7/4/2015
1,26,2015,Jul,27,4,2,2,PRT,0,H               ,Transient,163,6,Resort,RTransient2015July4-6,7/4/2015
0,44,2015,Jul,28,5,3,0,PRT,0,G               ,Transient,225,10,Resort,RTransient2015July5-10,7/5/2015
1,44,2015,Jul,28,9,2,2,PRT,0,G               ,Transient,153,6,Resort,RTransient2015July9-6,7/9/2015
0,108,2015,Jul,28,10,2,0,PRT,0,D               ,Transient,87.3,8,Resort,RTransient2015July10-8,7/10/2015
0,110,2015,Jul,28,11,2,0,PRT,0,E               ,Transient,139.4,7,Resort,RTransient2015July11-7,7/11/2015
1,60,2015,Jul,29,13,,0,PRT,0,D               ,Transient,79.5,16,Resort,RTransient2015July13-16,7/13/2015
0,40,2015,Jul,29,13,2,0,ESP,0,D               ,Transient,120,18,Resort,RTransient2015July13-18,7/13/2015
0,109,2015,Jul,29,13,3,0,PRT,0,E               ,Transient,163.8,24,Resort,RTransient2015July13-24,7/13/2015
1,7,2015,Jul,29,17,2,0,PRT,0,A               ,Transient,127.25,7,Resort,RTransient2015July17-7,7/17/2015
0,0,2015,Jul,29,18,2,2,PRT,0,C               ,Transient,249,15,Resort,RTransient2015July18-15,7/18/2015
0,41,2015,Jul,30,19,2,,ESP,0,C               ,Transient,131.37,11,Resort,RTransient2015July19-11,7/19/2015
0,65,2015,Jul,30,20,2,2,GBR,0,C               ,Transient,167.5,20,Resort,RTransient2015July20-20,7/20/2015
0,39,2015,Jul,30,20,2,1,PRT,0,D               ,Transient,141.6,29,resort,RTransient2015July20-29,7/20/2015
0,89,2015,Jul,30,21,3,0,PRT,0,A               ,Transient,163.33,7,Resort,RTransient2015July21-7,7/21/2015
1,19,2015,Jul,30,23,2,2,PRT,0,H               ,Transient,210,9,Resort,RTransient2015July23-9,7/23/2015
0,9,2015,Jul,30,24,2,0,ESP,0,E               ,Transient-Party,164,1,Resort,RTransient-Party2015July24-1,7/24/2015
1,62,2015,Jul,30,24,,2,PRT,0,H               ,Transient,210,18,Resort,RTransient2015July24-18,7/24/2015
0,35,2015,Jul,31,27,2,0,ESP,0,A               ,Transient,659.6,31,Resort,RTransient2015July27-31,7/27/2015
1,10,2015,Aug,31,1,2,0,PRT,0,G               ,Transient-Party,252,5,Resort,RTransient-Party2015August1-5,8/1/2015
1,36,2015,Aug,32,2,2,0,PRT,0,E               ,Transient,209.6,4,Resort,RTransient2015August2-4,8/2/2015
0,65,2015,Aug,32,5,2,0,PRT,0,D               ,Transient,0,2,resort,RTransient2015August5-2,8/5/2015
1,117,2015,Aug,32,5,2,0,PRT,0,A               ,Transient,166,14,Resort,RTransient2015August5-14,8/5/2015
0,62,2015,Aug,33,9,2,,FRA,0,E               ,Transient,210.33,6,Resort,RTransient2015August9-6,8/9/2015
0,35,2015,Aug,33,10,2,0,PRT,0,F               ,Transient,164.65,13,Resort,RTransient2015August10-13,8/10/2015
1,120,2015,Aug,33,11,2,0,PRT,0,A               ,Transient,120.6,6,Resort,RTransient2015August11-6,8/11/2015
1,91,2015,Aug,33,14,,0,PRT,0,F               ,Transient,209,14,resort,RTransient2015August14-14,8/14/2015
0,6,2015,Aug,33,14,2,0,ESP,0,D               ,Transient,195.8,16,Resort,RTransient2015August14-16,8/14/2015
1,12,2015,Aug,34,16,2,0,PRT,0,E               ,Transient,184.45,6,Resort,RTransient2015August16-6,8/16/2015
1,58,2015,Aug,34,20,2,0,PRT,0,A               ,Transient,133,9,Resort,RTransient2015August20-9,8/20/2015
1,156,2015,Aug,34,22,2,0,PRT,0,A               ,Transient,172,5,Resort,RTransient2015August22-5,8/22/2015
1,42,2015,Aug,34,22,2,0,PRT,0,A               ,Transient,177.57,14,Resort,RTransient2015August22-14,8/22/2015
1,72,2015,Aug,34,22,2,0,PRT,0,D               ,Transient,148.3,20,Resort,RTransient2015August22-20,8/22/2015
0,11,2015,Aug,35,24,2,0,PRT,0,D               ,Transient,199.4,15,resort,RTransient2015August24-15,8/24/2015
0,37,2015,Aug,35,24,2,0,GBR,0,E               ,Transient,133.76,21,Resort,RTransient2015August24-21,8/24/2015
1,70,2015,Aug,35,24,2,1,PRT,0,C               ,Transient,197.7,22,Resort,RTransient2015August24-22,8/24/2015
1,164,2015,Aug,35,28,2,0,PRT,0,D               ,Transient-Party,110.7,1,Resort,RTransient-Party2015August28-1,8/28/2015
1,1,2015,Aug,35,28,2,0,PRT,0,A               ,Transient,130.6,24,Resort,RTransient2015August28-24,8/28/2015
0,11,2015,Aug,36,30,2,0,PRT,0,A               ,Transient,103.5,3,Resort,RTransient2015August30-3,8/30/2015
0,83,2015,Aug,36,30,2,0,ROU,0,D               ,Transient,112.33,9,Resort,RTransient2015August30-9,8/30/2015
1,104,2015,Aug,36,30,2,0,PRT,0,E               ,Transient,161.29,17,Resort,RTransient2015August30-17,8/30/2015
0,41,2015,Aug,36,31,2,0,ESP,0,D               ,Transient,120.33,5,Resort,RTransient2015August31-5,8/31/2015
0,48,2015,Sep,36,1,2,0,ESP,0,A               ,Transient,134.67,4,Resort,RTransient2015September1-4,9/1/2015
0,68,2015,Sep,36,5,2,0,PRT,0,E               ,Transient,123,3,Resort,RTransient2015September5-3,9/5/2015
1,54,2015,Sep,36,5,2,0,PRT,0,A               ,Transient,131,15,Resort,RTransient2015September5-15,9/5/2015
0,47,2015,Sep,36,5,2,0,GBR,0,A               ,Transient,98,17,Resort,RTransient2015September5-17,9/5/2015
1,90,2015,Sep,37,6,2,0,PRT,0,D               ,Transient,113,26,Resort,RTransient2015September6-26,9/6/2015
1,0,2015,Sep,37,9,2,0,PRT,0,A               ,Transient,146,5,Resort,RTransient2015September9-5,9/9/2015
0,166,2015,Sep,37,10,2,0,PRT,0,A               ,Transient,73.8,4,Resort,RTransient2015September10-4,9/10/2015
1,149,2015,Sep,38,13,2,0,PRT,0,A               ,Transient,73.8,3,Resort,RTransient2015September13-3,9/13/2015
0,12,2015,Sep,38,13,2,0,ESP,0,D               ,Transient,122.75,6,Resort,RTransient2015September13-6,9/13/2015
0,84,2015,Sep,38,14,2,0,NLD,0,E               ,Transient,103.51,13,Resort,RTransient2015September14-13,9/14/2015
1,81,2015,Sep,38,15,2,0,PRT,0,E               ,Transient,103.8,4,Resort,RTransient2015September15-4,9/15/2015
0,0,2015,Sep,38,16,1,0,ESP,0,A               ,Transient,58.5,8,Resort,RTransient2015September16-8,9/16/2015
0,78,2015,Sep,38,17,2,0,BRA,0,A               ,Transient,66.6,1,Resort,RTransient2015September17-1,9/17/2015
1,76,2015,Sep,38,17,2,0,PRT,0,A               ,Transient,84.71,9,Resort,RTransient2015September17-9,9/17/2015
0,104,2015,Sep,38,17,2,0,GBR,0,D               ,Contract,73.5,2,Resort,RContract2015September17-2,9/17/2015
1,185,2015,Sep,39,21,2,0,PRT,0,A               ,Transient-Party,26,1,Resort,RTransient-Party2015September21-1,9/21/2015
0,8,2015,Sep,39,23,2,0,ITA,0,A               ,Transient,74.8,6,Resort,RTransient2015September23-6,9/23/2015
1,67,2015,Sep,39,25,2,0,PRT,0,A               ,Transient,109,12,Resort,RTransient2015September25-12,9/25/2015
0,51,2015,Sep,39,25,,0,IRL,0,D               ,Transient,90.49,15,Resort,RTransient2015September25-15,9/25/2015
0,2,2015,Sep,40,30,1,0,FRA,0,A               ,Transient-Party,58.5,2,Resort,RTransient-Party2015September30-2,9/30/2015
0,92,2015,Sep,40,30,2,0,DEU,0,A               ,Transient,48,13,Resort,RTransient2015September30-13,9/30/2015
0,51,2015,Oct,40,1,,1,PRT,0,D               ,Transient,74.4,10,Resort,RTransient2015October1-10,10/1/2015
0,61,2015,Oct,40,3,2,0,PRT,0,A               ,Transient,86,19,Resort,RTransient2015October3-19,10/3/2015
0,81,2015,Oct,41,4,2,0,IRL,0,A               ,Transient,63.66,5,Resort,RTransient2015October4-5,10/4/2015
0,18,2015,Oct,41,4,2,0,IRL,0,A               ,Transient,63.47,25,Resort,RTransient2015October4-25,10/4/2015
1,102,2015,Oct,41,5,2,0,PRT,0,D               ,Transient,71.67,14,Resort,RTransient2015October5-14,10/5/2015
0,175,2015,Oct,41,7,2,0,BEL,0,A               ,Transient,41.6,14,Resort,RTransient2015October7-14,10/7/2015
1,77,2015,Oct,41,9,2,0,PRT,0,A               ,Contract,50,4,Resort,RContract2015October9-4,10/9/2015
0,4,2015,Oct,41,9,2,0,GBR,0,D               ,Transient,70.4,50,Resort,RTransient2015October9-50,10/9/2015
1,143,2015,Oct,41,10,2,0,PRT,0,A               ,Transient,36.05,26,Resort,RTransient2015October10-26,10/10/2015
1,143,2015,Oct,41,10,2,0,PRT,0,D               ,Transient,98,33,Resort,RTransient2015October10-33,10/10/2015
1,334,2015,Oct,42,12,5,0,PRT,0,A               ,Group,0,3,Resort,RGroup2015October12-3,10/12/2015
0,153,2015,Oct,42,16,2,0,PRT,0,D               ,Transient-Party,0,1,Resort,RTransient-Party2015October16-1,10/16/2015
0,41,2015,Oct,43,18,2,0,GBR,0,A               ,Contract,43.93,2,Resort,RContract2015October18-2,10/18/2015
0,75,2015,Oct,43,20,3,0,GBR,0,A               ,Contract,67.15,1,Resort,RContract2015October20-1,10/20/2015
0,75,2015,Oct,43,20,1,0,DEU,0,A               ,Transient,36,8,Resort,RTransient2015October20-8,10/20/2015
0,92,2015,Oct,43,22,2,0,CYM,0,A               ,Transient-Party,40.5,1,Resort,RTransient-Party2015October22-1,10/22/2015
0,154,2015,Oct,44,30,2,0,PRT,0,A               ,Transient,42,9,Resort,RTransient2015October30-9,10/30/2015
1,155,2015,Oct,44,31,2,0,PRT,0,A               ,Transient,36,40,Resort,RTransient2015October31-40,10/31/2015
0,0,2015,Oct,44,31,2,0,ESP,0,D               ,Transient,48,57,Resort,RTransient2015October31-57,10/31/2015
0,0,2015,Nov,45,5,1,0,PRT,0,A               ,Transient,35,1,Resort,RTransient2015November5-1,11/5/2015
