,Transaction_ID,Configuration,Screen_Size,Battery_Life,RAM,Processor_Speeds,Integrated_Wireless,HD_Size,Bundled_Applications,Retail_Price
0,5622,51,15,4,2,1.5,Yes,80,Yes,460
1,52758,695,17,5,4,2,Yes,300,Yes,
2,977,299,15,6,1,1.5,No,80,Yes,490
3,215756,303,15,6,1,1.5,No,300,Yes,525
4,294662,394,15,6,4,1.5,No,40,No,550
5,150118,603,17,5,1,2,No,80,Yes,364
6,265452,512,17,4,2,2,No,300,No,535
7,147608,666,17,5,2,2.4,No,40,No,343
8,266994,618,17,5,1,2.4,No,40,No,440
9,33870,213,15,5,2,2,Yes,120,Yes,485
10,250185,288,15,5,4,2.4,No,300,No,640
11,165363,557,17,4,4,2,No,120,Yes,685
12,294119,725,17,6,1,1.5,Yes,120,Yes,600
13,174134,603,17,5,1,2,No,80,Yes,520
14,259104,817,17,6,4,1.5,Yes,40,Yes,720
15,69026,166,15,5,1,2,Yes,120,No,400
16,192208,749,17,6,1,2,No,120,Yes,615
17,203609,447,17,4,1,1.5,No,300,Yes,550
18,113796,598,17,5,1,2,Yes,120,No,515
19,151284,100,15,4,4,1.5,Yes,80,No,510
20,246511,212,15,5,2,2,Yes,80,No,355
21,197629,777,17,6,2,1.5,No,40,Yes,560
22,37607,318,15,6,1,2,No,120,No,465
23,64852,179,15,5,1,2.4,Yes,80,Yes,480
24,136392,191,15,5,1,2.4,No,300,Yes,530
25,7070,8,15,4,1,1.5,Yes,300,No,440
26,18112,364,15,6,2,2,No,80,No,
27,25114,354,15,6,2,2,Yes,40,No,465
28,205874,214,15,5,2,2,Yes,120,No,385
29,142565,308,15,6,1,2,Yes,80,No,450
30,190533,855,17,6,4,2.4,Yes,300,Yes,890
31,286342,473,17,4,1,2.4,No,40,Yes,470
32,274867,310,15,6,1,2,Yes,120,No,450
33,187962,526,17,4,2,2.4,No,120,No,520
34,286578,538,17,4,4,1.5,No,40,No,550
35,152863,470,17,4,1,2.4,Yes,120,No,515
36,47552,200,15,5,2,1.5,Yes,300,No,460
37,198319,675,17,5,4,1.5,Yes,80,Yes,680
38,56429,694,17,5,4,2,Yes,120,No,675
39,90007,620,17,5,1,2.4,No,80,No,505
40,34961,202,15,5,2,1.5,No,40,No,330
41,297032,76,15,4,2,2,No,80,No,305
42,86015,861,17,6,4,2.4,No,120,Yes,810
43,83172,79,15,4,2,2,No,300,Yes,485
44,177486,694,17,5,4,2,Yes,120,No,675
45,244526,330,15,6,1,2.4,No,40,No,425
46,216367,495,17,4,2,1.5,No,300,Yes,570
47,43096,675,17,5,4,1.5,Yes,80,Yes,680
48,212027,88,15,4,2,2.4,Yes,300,No,500
49,234923,383,15,6,2,2.4,No,300,Yes,620
50,197047,820,17,6,4,1.5,Yes,80,No,710
51,110199,545,17,4,4,2,Yes,40,Yes,645
52,198231,856,17,6,4,2.4,Yes,300,No,840
53,9933,363,15,6,2,2,No,80,Yes,555
54,218145,159,15,5,1,1.5,No,300,Yes,440
55,216119,703,17,5,4,2,No,300,Yes,765
56,65831,624,17,5,1,2.4,No,300,No,590
57,134100,497,17,4,2,2,Yes,40,Yes,525
58,113989,618,17,5,1,2.4,No,40,No,460
59,46221,481,17,4,2,1.5,Yes,40,Yes,364
60,110998,623,17,5,1,2.4,No,300,Yes,630
61,26648,21,15,4,1,2,Yes,120,Yes,440
62,278310,491,17,4,2,1.5,No,80,Yes,480
63,161234,763,17,6,1,2.4,No,80,Yes,625
64,230814,659,17,5,2,2.4,Yes,80,Yes,580
65,203726,356,15,6,2,2,Yes,80,No,445
66,295471,203,15,5,2,1.5,No,80,Yes,350
67,197815,581,17,5,1,1.5,Yes,120,Yes,530
68,94654,789,17,6,2,2,Yes,120,Yes,695
69,101557,265,15,5,4,2,No,40,Yes,545
70,255413,103,15,4,4,1.5,Yes,300,Yes,640
71,50566,543,17,4,4,1.5,No,300,Yes,504
72,9172,15,15,4,1,1.5,No,300,Yes,465
73,10123,163,15,5,1,2,Yes,80,Yes,450
