user_id,page_layout,content_type,navigation_structure,call_to_action,impressions,click,conversion
1,Single Column,Images,Top Menu,Link,1,0,0
2,Single Column,Text,Top Menu,Button,5,0,0
3,Single Column,Video,Side Menu,Button,2,0,0
4,Single Column,Text,Top Menu,Link,8,1,0
5,Grid Layout,Text,Side Menu,Button,1,0,1
6,Single Column,Images,Side Menu,Link,4,0,0
7,Grid Layout,Video,Side Menu,Link,1,0,1
8,Single Column,Video,Side Menu,Link,2,0,0
9,Single Column,Text,Side Menu,Button,8,1,0
10,Grid Layout,Images,Top Menu,Button,4,0,0
11,Single Column,Images,Side Menu,Button,7,0,0
12,Single Column,Text,Side Menu,Button,3,0,0
13,Single Column,Images,Side Menu,Button,7,1,0
14,Single Column,Text,Top Menu,Button,5,0,1
15,Grid Layout,Images,Top Menu,Link,4,0,0
16,Grid Layout,Video,Side Menu,Link,4,0,1
17,Grid Layout,Video,Top Menu,Button,1,0,0
18,Single Column,Text,Side Menu,Button,8,1,0
19,Single Column,Images,Side Menu,Link,2,1,0
20,Single Column,Video,Top Menu,Button,9,1,0
21,Single Column,Video,Top Menu,Button,4,0,1
22,Single Column,Images,Top Menu,Button,4,1,1
23,Grid Layout,Text,Top Menu,Link,3,0,0
24,Single Column,Images,Top Menu,Button,2,1,0
25,Grid Layout,Video,Top Menu,Link,1,0,0
26,Single Column,Images,Top Menu,Button,1,1,0
27,Grid Layout,Images,Top Menu,Link,6,1,0
28,Single Column,Video,Top Menu,Link,9,0,0
29,Single Column,Text,Top Menu,Button,8,0,0
30,Grid Layout,Text,Top Menu,Button,7,1,1
31,Grid Layout,Images,Top Menu,Button,6,0,0
32,Single Column,Video,Side Menu,Link,9,0,0
33,Grid Layout,Video,Side Menu,Link,6,0,0
34,Single Column,Images,Top Menu,Link,6,1,1
35,Grid Layout,Video,Top Menu,Link,4,1,0
36,Single Column,Images,Top Menu,Button,2,0,0
37,Single Column,Text,Top Menu,Button,4,0,0
38,Single Column,Text,Top Menu,Link,6,0,0
39,Single Column,Images,Side Menu,Button,3,1,0
40,Single Column,Images,Top Menu,Button,2,0,0
41,Grid Layout,Images,Top Menu,Link,5,0,0
42,Grid Layout,Video,Side Menu,Link,1,0,0
43,Single Column,Images,Side Menu,Button,8,0,0
44,Grid Layout,Images,Top Menu,Button,6,0,0
45,Single Column,Video,Side Menu,Link,4,0,1
46,Single Column,Text,Side Menu,Button,5,0,0
47,Grid Layout,Text,Top Menu,Button,4,0,0
48,Grid Layout,Images,Side Menu,Button,9,0,0
49,Grid Layout,Text,Top Menu,Button,9,0,0
50,Grid Layout,Video,Top Menu,Button,7,1,0
51,Single Column,Video,Side Menu,Link,1,0,1
52,Grid Layout,Video,Top Menu,Link,4,0,0
53,Single Column,Images,Side Menu,Button,5,1,0
54,Grid Layout,Video,Side Menu,Link,7,1,0
55,Grid Layout,Images,Top Menu,Link,5,0,0
56,Grid Layout,Images,Side Menu,Button,8,1,0
57,Single Column,Text,Side Menu,Button,5,0,0
58,Grid Layout,Video,Side Menu,Button,7,0,0
59,Grid Layout,Video,Top Menu,Link,5,1,0
60,Grid Layout,Video,Side Menu,Button,4,1,0
61,Grid Layout,Video,Top Menu,Button,4,0,1
62,Grid Layout,Images,Top Menu,Button,6,1,0
63,Single Column,Images,Side Menu,Button,7,0,0
64,Grid Layout,Video,Top Menu,Button,1,0,0
65,Grid Layout,Text,Top Menu,Link,6,0,0
66,Grid Layout,Video,Top Menu,Link,5,1,0
67,Single Column,Video,Side Menu,Button,2,0,0
68,Grid Layout,Video,Side Menu,Button,5,1,0
69,Single Column,Text,Top Menu,Button,5,0,0
70,Grid Layout,Images,Top Menu,Link,8,0,0
71,Single Column,Text,Side Menu,Button,4,0,0
72,Grid Layout,Text,Side Menu,Link,4,0,0
73,Single Column,Text,Top Menu,Link,3,0,0
74,Single Column,Video,Top Menu,Button,4,0,0
75,Single Column,Video,Side Menu,Link,3,0,0
76,Grid Layout,Video,Top Menu,Link,7,0,0
77,Grid Layout,Images,Top Menu,Button,1,1,1
78,Grid Layout,Images,Side Menu,Button,8,0,0
79,Grid Layout,Text,Side Menu,Button,2,1,0
80,Grid Layout,Text,Top Menu,Button,9,1,1
81,Grid Layout,Video,Top Menu,Link,8,0,0
82,Grid Layout,Text,Top Menu,Button,3,1,0
83,Grid Layout,Video,Side Menu,Button,6,0,0
84,Single Column,Video,Side Menu,Link,7,0,0
85,Single Column,Images,Top Menu,Link,4,0,0
86,Grid Layout,Text,Side Menu,Link,7,0,0
87,Single Column,Images,Side Menu,Link,5,0,0
88,Grid Layout,Text,Top Menu,Button,9,1,0
89,Single Column,Video,Side Menu,Button,6,0,0
90,Single Column,Video,Side Menu,Button,5,0,0
91,Grid Layout,Video,Side Menu,Button,2,0,0
92,Single Column,Images,Side Menu,Button,2,0,0
93,Grid Layout,Text,Side Menu,Button,4,1,1
94,Single Column,Video,Side Menu,Button,7,0,0
95,Grid Layout,Images,Top Menu,Button,5,1,0
96,Grid Layout,Text,Side Menu,Button,1,1,0
97,Single Column,Video,Side Menu,Button,8,0,1
98,Grid Layout,Text,Top Menu,Button,7,1,0
99,Single Column,Text,Top Menu,Link,6,0,0
100,Grid Layout,Images,Top Menu,Button,7,0,0
101,Single Column,Video,Side Menu,Link,5,0,1
102,Grid Layout,Video,Top Menu,Button,6,0,0
103,Single Column,Video,Top Menu,Link,1,0,0
104,Single Column,Text,Top Menu,Link,9,1,0
105,Grid Layout,Video,Top Menu,Button,4,0,0
106,Single Column,Text,Side Menu,Link,6,0,0
107,Single Column,Video,Side Menu,Button,3,1,1
108,Single Column,Text,Side Menu,Link,2,0,0
109,Grid Layout,Text,Side Menu,Link,1,1,0
110,Single Column,Text,Top Menu,Button,7,0,0
111,Grid Layout,Text,Top Menu,Button,5,0,0
112,Single Column,Images,Side Menu,Link,5,0,0
113,Single Column,Text,Side Menu,Link,1,0,0
114,Grid Layout,Text,Side Menu,Link,1,0,0
115,Single Column,Text,Side Menu,Button,8,0,0
116,Grid Layout,Text,Top Menu,Link,3,0,0
117,Single Column,Video,Side Menu,Button,4,0,1
118,Single Column,Text,Side Menu,Link,1,0,0
119,Single Column,Text,Side Menu,Button,1,1,0
120,Single Column,Text,Side Menu,Link,4,0,0
